time,channel,ROI.ID,LP,Probe,mean_Mean
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_1.1,LP40,MS19,1123.1892
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_1.2,LP40,MS19,1291.2065
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.1,LP40,MS19,624.3605
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.2,LP40,MS19,2440.8831
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.3,LP40,MS19,2306.2244
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.4,LP40,MS19,810.9702
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.5,LP40,MS19,544.3851
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.6,LP40,MS19,1895.1274
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.7,LP40,MS19,134.9958
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.8,LP40,MS19,321.9349
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_2.9,LP40,MS19,314.9925
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.1,LP40,MS19,1464.0698
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.2,LP40,MS19,751.9764
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.3,LP40,MS19,396.2435
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.4,LP40,MS19,324.9589
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.5,LP40,MS19,1422.7915
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.6,LP40,MS19,718.7292
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_3.7,LP40,MS19,178.3158
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_4.1,LP40,MS19,1304.1501
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_4.2,LP40,MS19,210.8416
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_1_4.3,LP40,MS19,1213.6586
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.1,LP40,MS19,558.9141
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.2,LP40,MS19,447.3061
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.3,LP40,MS19,3217.4373
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.4,LP40,MS19,3248.4595
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_1.5,LP40,MS19,2783.9243
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.1,LP40,MS19,600.4099
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.10,LP40,MS19,2485.7012
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.11,LP40,MS19,2306.7717
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.12,LP40,MS19,1296.1519
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.13,LP40,MS19,1084.4951
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.14,LP40,MS19,379.4608
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.15,LP40,MS19,267.7633
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.2,LP40,MS19,676.452
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.3,LP40,MS19,1070.0529
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.4,LP40,MS19,1669.0
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.5,LP40,MS19,685.9437
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.6,LP40,MS19,679.2516
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.7,LP40,MS19,1719.1302
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.8,LP40,MS19,1323.6395
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_2.9,LP40,MS19,2461.0698
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.1,LP40,MS19,1058.7472
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.10,LP40,MS19,1363.4117
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.11,LP40,MS19,1043.9375
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.2,LP40,MS19,1100.0287
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.3,LP40,MS19,581.3455
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.4,LP40,MS19,561.3654
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.5,LP40,MS19,2388.3962
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.6,LP40,MS19,2580.7788
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.7,LP40,MS19,3347.1428
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.8,LP40,MS19,2165.7725
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_3.9,LP40,MS19,1318.3893
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.1,LP40,MS19,300.2621
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP40_C1-EGFP-NES_cond1_cond2_2_4.10,LP40,MS19,232.2921
