time,channel,ROI.ID,LP,Probe,mean_Mean
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_1.1,LP20,MS19,1093.4406
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_1.2,LP20,MS19,2511.3865
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_1.3,LP20,MS19,2259.8313
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_1.4,LP20,MS19,247.9888
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_1.5,LP20,MS19,773.6241
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_2.1,LP20,MS19,1206.9934
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_2.2,LP20,MS19,1051.9301
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_2.3,LP20,MS19,607.9641
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.1,LP20,MS19,1306.6099
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.2,LP20,MS19,691.7043
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.3,LP20,MS19,646.7225
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.4,LP20,MS19,319.04880000000003
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.5,LP20,MS19,601.7128
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.6,LP20,MS19,744.986
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_3.7,LP20,MS19,1133.2363
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_4.1,LP20,MS19,1495.5801
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_1_4.2,LP20,MS19,1841.6403
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.1,LP20,MS19,1528.5525
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.10,LP20,MS19,291.3182
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.2,LP20,MS19,1270.9122
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.3,LP20,MS19,758.1356
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.4,LP20,MS19,394.24
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.5,LP20,MS19,1142.3495
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.6,LP20,MS19,2067.9915
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.7,LP20,MS19,3282.2449
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.8,LP20,MS19,253.202
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_1.9,LP20,MS19,344.4222
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.1,LP20,MS19,397.6948
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.2,LP20,MS19,493.6407
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.3,LP20,MS19,739.5369
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.4,LP20,MS19,3851.7427
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.5,LP20,MS19,3349.2102
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.6,LP20,MS19,592.6667
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.7,LP20,MS19,3017.2354
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.8,LP20,MS19,1558.2759
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_2.9,LP20,MS19,723.4754
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.1,LP20,MS19,1245.1821
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.10,LP20,MS19,1709.9143
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.11,LP20,MS19,1378.5333
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.12,LP20,MS19,768.9827
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.13,LP20,MS19,2771.3015
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.14,LP20,MS19,260.6765
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.15,LP20,MS19,1565.7705
0,C1-EGFP-NES channel,Unc405_50uM_MS19_0.05%Plu_LP20_C1-EGFP-NES_cond1_cond2_2_3.2,LP20,MS19,2270.373
