time,channel,ROI.ID,LP,Probe,mean_Mean
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.1,LP0,MS6,434.8675
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.2,LP0,MS6,426.5042
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.3,LP0,MS6,752.3759
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.4,LP0,MS6,744.1169
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.5,LP0,MS6,264.2483
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_1.6,LP0,MS6,2033.1364
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.1,LP0,MS6,1589.2311
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.2,LP0,MS6,2094.8999
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.3,LP0,MS6,1492.8467
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.4,LP0,MS6,731.5385
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.5,LP0,MS6,756.4243
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.6,LP0,MS6,710.9017
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.7,LP0,MS6,862.4067
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.8,LP0,MS6,564.8849
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_2.9,LP0,MS6,2767.3699
0,C1-EGFP-NES channel,Unc405_1600uM_MS6_0.05%Plu_LP0_C1-EGFP-NES_cond1_cond2_1_3.1,LP0,MS6,336.8659
